location_id,locationUUID,LocationPublicname,LocationInternalname,LocationType,LocationCountryCode,LocationCountrySubdivision,LocationCoordinatesLatitude,LocationCoordinatesLongitude,StoreNumber,LocationLifecycleStatus,LocationStoreFormat,LocationStoreDetailedFormat,LocationTimeZone,LocationAddressUUID,LocationParentStoreUUID
41,b46df26c-84d5-4489-9f9e-d6a731359bf1,Litherland Superstore - Petrol Filling Station,Litherland Superstore - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,53.46882,-2.99788,4184,Trading,null,Petrol Station,Europe/London,50c7d163-bdeb-4804-8abf-cde4698a7689,32c34eb2-bb07-4d5c-994e-4c69c9a4a44c
45,1b49f86b-b09d-41d1-84c1-7dc6083915be,Chepstow Superstore - Scan as you Shop,Chepstow Superstore - Scan as you Shop,Scan-as-you-Shop,GB,WLS,51.64113,-2.67146,0,Trading,null,null,Europe/London,d1c11778-54b4-4743-865d-8f25c4c365cf,e840891d-b18a-45b2-85e1-cc4b0c7c0c0f
49,26115049-6c96-462c-8b30-a50773c2b2d1,Broad Rd Limavady Express,Broad Rd Limavady Express,Store,GB,NIR,55.05106,-6.92663,6021,Trading,Express,Express,Europe/London,18b5314b-a8fb-4f1d-8d30-739964602b1f,null
53,a17cb00f-91d4-4c7c-9545-feddecc91c07,GRANGEMOUTH,GRANGEMOUTH,Store,GB,SCT,null,null,2591,Closed,null,High Street,Europe/London,ff79e984-e0d3-47fb-9549-a1b59cf750b5,null
57,2fbcf8bd-5d54-41ca-a12c-55d666e8a0d5,One Stop Norton Canes,One Stop Norton Canes,One-Stop,GB,ENG,52.671748,-1.964028,0,Trading,Neighbourhood Top Up,null,Europe/London,fd72235c-44f8-4305-8bfd-d0f66c0fa00d,null
61,2e3219a4-7abd-49b0-91be-ae671bb3ba7b,Welshpool Superstore - Tesco Mobile Shop,Welshpool Superstore - Tesco Mobile Shop,Tesco-Mobile-Shop,GB,WLS,52.65884,-3.14122,0,Trading,null,null,Europe/London,3c9ca068-15e6-4318-8be3-0236063f22f0,b71ed226-b1b6-48fb-8ccf-55b59263ab8f
65,5a5370bf-0660-4242-949d-7c5be444c128,Bristol E Extra,Bristol E Extra,Store,GB,ENG,51.47334,-2.56301,2136,Trading,Extra,Extra,Europe/London,af67ec43-c5b6-4aac-9587-c437f80db1f6,null
69,487162ee-5535-4b52-ad70-f5f18f0ddebc,Plymouth Metro - Clothing Collection,Plymouth Metro - Clothing Collection,Clothing-Collection,GB,ENG,50.37112,-4.14102,0,Closed,null,null,Europe/London,fca19788-0b6b-429c-aaa9-0f0e26c43797,629f79b2-9100-45b5-9150-ac61ff0bbd02
73,6b69f488-2ebf-418f-b17a-75dfd153d62d,Spalding Matmore Gate Express,Spalding Matmore Gate Express,Store,GB,ENG,52.78204,-0.14385,3308,Trading,Express,Express Standalone,Europe/London,1ef881a2-5fdf-4188-8f12-5af5bcaa9c9c,null
77,600589fa-99c5-4eb8-9c38-c3f88bfc97c4,Hermiston Gait Superstore - Clothing Range,Hermiston Gait Superstore - Clothing Range,Clothing-Range,GB,SCT,55.92469,-3.30549,0,Trading,null,null,Europe/London,15c7f609-6309-441f-ab04-fd49921044fe,81f0f336-e480-4727-aa63-cefbecbca9df
81,a6a68f50-5f0b-4a9d-a07c-a6f81b3ed570,Plymouth Transit Way Superstore,Plymouth Transit Way Superstore,Store,GB,ENG,50.40997,-4.14945,3039,Trading,Superstore,Superstore,Europe/London,481d03b6-c585-48d6-a4ee-8c711ab485d6,null
85,18dadbc3-12c3-48d9-b5d2-db41e777542d,Rotherham Extra - Travel Money,Rotherham Extra - Travel Money,Travel-Money,GB,ENG,53.4336,-1.35322,0,Trading,null,null,Europe/London,ae9b97cc-36cf-4129-826b-b1c67c7e46c5,04fcc70b-6099-4858-9bbd-f5a33aa06e75
89,6c476ece-68e1-446e-a0a4-ca40a2350509,Golden Island,Golden Island,Click-And-Collect,IE,IE,53.42046,-7.935026,0,Trading,Pod,null,Europe/Dublin,04cc1ef5-66d9-4442-a852-1c3ef6f8bf97,00207119-a393-420f-a36c-39d3328c1b7e
93,376b89ce-a80d-4a55-81c9-b6bbfadfa4ad,Chesterfield Whittington Express,Chesterfield Whittington Express,Store,GB,ENG,53.27348,-1.41714,6853,Trading,Express,Express Standalone,Europe/London,a70de6fe-d20c-40f1-a82e-b2cff5a33308,null
97,3960780c-f9cd-4560-a896-8e9743286344,Romford Collier Row Metro - Hot Deli,Romford Collier Row Metro - Hot Deli,Hot-Deli,GB,ENG,51.59892,0.16392,0,Trading,null,null,Europe/London,8eaffae4-3b2b-459f-ad39-fdeab3e56af3,12055ef8-dfad-4e0a-b75a-2f373c3f4fb2
101,832b4d16-8f4c-4b9a-8e11-7aa018afb0db,Hornsea Superstore - Elderly And Vulnerable Priority Time,Hornsea Superstore - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,ENG,53.90652,-0.16973,0,Closed,null,null,Europe/London,ffeb453c-1fdb-46f0-a49b-e963c17f0470,8976a6ab-8995-42d4-be55-9753be62e37d
105,ccda8615-f159-4178-8103-f342ba852f5a,Ely Superstore - Elderly And Vulnerable Priority Time,Ely Superstore - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,ENG,52.39116,0.26509,0,Closed,null,null,Europe/London,3d04c211-70d7-446a-8450-c58de1ad7809,297caa57-2b71-4868-87c1-fe408e0b49f7
109,bed13dc0-1e1c-44d6-9bf9-aced141460a3,CHESTERFIELD EXTRA,CHESTERFIELD EXTRA,Click-And-Collect,GB,ENG,53.25086,-1.423825,0,Trading,Pod,null,Europe/London,b3556824-6a41-4f53-8795-7034676fdee2,d1396a49-c5d1-4153-8060-9f4e5686e3db
113,3ae993ed-0538-46d6-9c7c-45b05ada9b83,Roxboro Superstore - Clothing Collection,Roxboro Superstore - Clothing Collection,Clothing-Collection,IE,IE,52.650385,-8.616862,0,Closed,null,null,Europe/Dublin,28eebc87-2dd0-4b25-a69f-a93a3ea8a658,bd618d52-faa1-4da0-9112-75fa899b4ac1
117,0475c929-21ce-4fab-a341-502666cbd106,Kentish Town Express,Kentish Town Express,Store,GB,ENG,51.547,-0.14187,5186,Trading,Express,Express Standalone,Europe/London,1558de01-b92e-4f88-9f8e-c3c63536bf38,null
121,48923117-b943-492a-80aa-3dc967b10fd9,Aldershot Superstore - Hand Car Wash,Aldershot Superstore - Hand Car Wash,Hand-Car-Wash,GB,ENG,51.25089,-0.77527,0,Trading,null,null,Europe/London,0f28a6d5-166b-4b05-8815-07f4fb70bd5f,cb337a53-d1ee-4b86-9798-d1c1af0f0df5
125,82c2915e-4b6b-4a06-9d09-3038cb7f3c23,Middlesbrough Coronation Express,Middlesbrough Coronation Express,Store,GB,ENG,54.54603,-1.25889,5847,Trading,Express,Express Standalone,Europe/London,a477f64e-8ad4-43f5-b463-0e14a1dec734,null
129,e9a0eaaf-c18a-49d3-b32d-cd768c6c4907,Barton Upon Humber Superstore - NHS Workers Priority Time,Barton Upon Humber Superstore - NHS Workers Priority Time,NHS-Workers-Priority-Time,GB,ENG,53.69074,-0.44169,0,Closed,null,null,Europe/London,c7ef53a7-61a7-4ec3-aee0-03385b5549ce,14d1a200-727b-4be3-97bc-6efb15cc69c8
133,5988cf50-bba6-4bf4-a509-94d1b3384b86,West Durrington Extra - Tech Support,West Durrington Extra - Tech Support,Tech-Support,GB,ENG,50.83201,-0.42593,0,Trading,null,null,Europe/London,065da8a4-198a-493e-99a0-cc0db1d8e238,1389934c-525a-44df-b0dd-e20032044fb3
137,bcde7159-e020-49fd-a727-cf70e6cc12a7,SM ZILINA HAJIK,SM ZILINA HAJIK,Store,SK,null,49.2125778,18.712122,0,Trading,Supermarket,null,Europe/Bratislava,4c4d6015-5e28-49e9-b728-141c291fd17d,null
141,e02773c5-99c5-400c-b9a0-34f79e52557b,Bournemouth Extra - NHS Workers Priority Time,Bournemouth Extra - NHS Workers Priority Time,NHS-Workers-Priority-Time,GB,ENG,50.74555,-1.8166,0,Closed,null,null,Europe/London,c3fdda57-b0d9-4fb7-9bdb-237f580fbf29,3d615871-4063-448f-87af-480b330f6ea7
145,65930193-4cd7-4370-bd8c-4e323300eb48,Arbroath Superstore - Hot Deli,Arbroath Superstore - Hot Deli,Hot-Deli,GB,SCT,56.56226,-2.59196,0,Trading,null,null,Europe/London,cd7ce17b-918b-4d7a-afbd-091cf26252ea,0e8eb779-0056-4586-b3ea-fa44c4d4494c
149,f9bd3ee8-f030-45ef-a543-3731c9819410,Bourne Superstore - Travel Money Click and Collect,Bourne Superstore - Travel Money Click and Collect,Travel-Money-Click-and-Collect,GB,ENG,52.75985,-0.36671,0,Trading,null,null,Europe/London,2ef111f1-f7e5-4566-8c37-35a4ea1ae0e8,5aad6b12-6713-4cd9-9937-3f92bcdc2a0d
153,814f761c-e4e0-4e59-b8ed-b06b35d2d28f,Filey Smart Phone required for collection,Filey Smart Phone required for collection,Click-And-Collect,GB,ENG,54.20976,-0.29201,0,Closed,null,null,Europe/London,5a4d3812-fc76-41fa-ad62-c28b89ca6875,2b875f9e-cc74-470d-bd76-ac150004518a
157,f57e6229-55a4-475a-9165-e560d8ea862f,Kendal Highgate Express,Kendal Highgate Express,Store,GB,ENG,54.32737,-2.74768,4485,Trading,Express,Express Standalone,Europe/London,38ee1891-7e96-4f65-a0e0-6a1fb0183076,null
161,0f57216e-60a0-4560-9faa-6c4a323130bb,Stoke-on-trent Superstore,Stoke-on-trent Superstore,Store,GB,ENG,52.99454,-2.2104,3239,Trading,Superstore,Superstore,Europe/London,47395151-91aa-4cb6-94f1-d5b8bfacaf5a,null
165,50a8e5ea-1357-4334-b39c-a04091ea21d6,NEWPORT GWENT,NEWPORT GWENT,Store,GB,WLS,null,null,2936,Closed,null,null,Europe/London,7a737c52-9a5f-4e72-8a68-33756610b695,null
169,fb95286a-8cc7-4770-966e-d595ab4d7642,Barnt Green Express,Barnt Green Express,Store,GB,ENG,52.36086,-1.99087,2504,Trading,Express,Express Standalone,Europe/London,218ca726-c041-4262-b39d-ace59270fbb6,null
173,c97fc2e6-de06-4ad5-874a-a18963ab132c,Holyhead Smart Phone Required for Collection,Holyhead Smart Phone Required for Collection,Click-And-Collect,GB,WLS,53.301228,-4.620628,0,Trading,Kerbside,null,Europe/London,530c8dbd-f97f-43af-ada5-b6a3ce84c955,ce84aec3-bcad-4e21-8962-bc9eaede131d
177,90e03204-ab40-409b-81c0-55ecb233516f,One Stop Lowford,One Stop Lowford,One-Stop,GB,ENG,50.889862,-1.317238,0,Trading,Neighbourhood Hybrid,null,Europe/London,603fcbbc-6cea-45be-97fa-820f80a01a36,null
181,a56faddd-ca60-4341-9f91-5d0ad663962d,Cannon Park Centre Superstore - Clothing Range,Cannon Park Centre Superstore - Clothing Range,Clothing-Range,GB,ENG,52.38688,-1.5547,0,Trading,null,null,Europe/London,d17f718c-56e2-49bc-916b-fea41a1df475,d8a9603c-c21a-4ee9-b866-854dc95b6038
185,9e73c610-86fd-42e5-9a11-04072421bfb4,Ballymena Superstore - Cold Deli,Ballymena Superstore - Cold Deli,Cold-Deli,GB,NIR,54.8564,-6.26122,0,Closed,null,null,Europe/London,1a03bd3e-f7b0-47c1-aa32-dc6142ac8903,8975e7d4-5e4a-4b52-9d34-fd4e6a251795
189,0a762613-d625-49ec-aa94-9843b9757bee,Perth Extra - Scan as you Shop,Perth Extra - Scan as you Shop,Scan-as-you-Shop,GB,SCT,56.40802,-3.47871,0,Trading,null,null,Europe/London,0c1f7ca4-9de0-41b0-8674-fa6b13542730,ad9c30c0-3ff0-446e-a076-02491a52f089
193,657e874b-943d-4f08-85c7-653fb2118fc2,Sheerness Superstore - Meat,Sheerness Superstore - Meat,Meat,GB,ENG,51.44262,0.75955,0,Trading,null,null,Europe/London,013fa4b8-bce2-4128-adfc-9c9837bd3a80,de4ef9d0-b6b7-445b-991a-571b26c199c3
197,45be2426-b83f-4d78-b15e-17553f1a5b8d,Maidstone Grove Green Superstore - Travel Money,Maidstone Grove Green Superstore - Travel Money,Travel-Money,GB,ENG,51.27667,0.5557,0,Trading,null,null,Europe/London,93391487-7671-4c82-bf24-71f1ba0024c0,8a937a8f-a05d-42c6-b5d5-63546c5174e0
201,518092e7-21e8-4587-b528-f2f424dc2b1c,Braintree Great Notley Superstore - Scan as you Shop,Braintree Great Notley Superstore - Scan as you Shop,Scan-as-you-Shop,GB,ENG,51.8575,0.52246,0,Trading,null,null,Europe/London,cc769d5a-8f5f-44cc-878c-87f143a903ae,8b99983c-7e80-409f-93bb-344c9dee524a
205,2bdd306c-664b-4100-a006-3c5e2121ee75,COBHAM,COBHAM,Store,GB,ENG,null,null,2292,Closed,null,null,Europe/London,25fe80cb-1335-4721-abd9-7c7105f8676e,null
209,f1ca5fc6-a6a7-4deb-8d40-96a6cae40c22,Erith CFC A,Erith CFC A,Click-And-Collect,GB,ENG,51.494818,0.168988,0,Trading,Van,null,Europe/London,55460f3f-9595-4776-86cc-77bd831e065b,17ba8767-bd3f-40c6-bb0b-edda1f1c4cf2
213,0a5aa5da-184a-43f6-8c2e-37db571429e0,Holywell Smart Phone required for collection,Holywell Smart Phone required for collection,Click-And-Collect,GB,WLS,53.27467505,-3.22128465,0,Trading,Kerbside,null,Europe/London,0a3ba836-b1d9-40fc-891d-ea64e01d82a4,4195cd89-5c3d-4ece-94f3-aab69c6f7fe0
217,174606fd-4109-4534-b026-6b6c8a888a34,Padstow Superstore - Hot Deli,Padstow Superstore - Hot Deli,Hot-Deli,GB,ENG,50.53513,-4.94604,0,Trading,null,null,Europe/London,0d9cb42c-9e75-4722-8f38-54043ffe8b32,cc519cd9-0c4d-4948-857d-62791ba2fb29
221,d7b93d11-05c8-493a-8163-a5ec7822941e,Craigavon Extra - Tesco Mobile Shop,Craigavon Extra - Tesco Mobile Shop,Tesco-Mobile-Shop,GB,NIR,54.44576,-6.39398,0,Trading,null,null,Europe/London,36f0e994-c4a6-47f7-b735-81c2b2e17a57,5312a9fa-3d8d-467b-8edb-8f962d634413
225,0dce11ca-ce12-4bf3-a44a-97b02146b4c3,Camden Esso Express - Petrol Filling Station,Camden Esso Express - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,51.54534,-0.13331,0,Trading,null,null,Europe/London,5a701588-f4d5-4f48-993e-1558d52f6356,32055dfe-42dd-4665-943d-4db905a35355
229,4acea10b-93fe-4909-b3ad-24feaf1caa69,HECKMONDWIKE,HECKMONDWIKE,Store,GB,ENG,null,null,2658,Closed,null,null,Europe/London,a59e13bb-731c-452b-955c-81ba4bf9e4c0,null
233,c5ff22f4-27ef-47a7-b6df-6a4da51033ca,Pritchatts Park Village Collection,Pritchatts Park Village Collection,Click-And-Collect,GB,ENG,52.456179,-1.936362,0,Trading,CFL,null,Europe/London,952df48a-0ff5-4689-959a-aa2e74112c24,e1aa78e8-d35b-428e-a3c2-bd8fabbf35f9
237,1c185d75-1261-4480-b6aa-58ae02006578,One Stop Ilkeston,One Stop Ilkeston,One-Stop,GB,ENG,52.983072,-1.312084,0,Trading,Neighbourhood Top Up,null,Europe/London,dd48d55f-6737-4aa8-9c5f-025c725f7c0d,null
241,c01f2571-751b-4472-8136-bd79404f46c6,Bradford Bolton Express,Bradford Bolton Express,Store,GB,ENG,53.81477,-1.73815,5554,Trading,Express,Express Standalone,Europe/London,3c9b535f-da5d-4f2c-a3f0-408a7a6a128d,null
245,df88a113-e75d-4d9b-a7db-86f0b70147c9,Cowley Esso Express - Petrol Filling Station,Cowley Esso Express - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,51.52248,-0.48115,0,Trading,null,null,Europe/London,dcea8269-c293-4b02-8050-ccec427b343e,d193242e-a397-475e-8cc4-f23e82af2db6
249,a1dd42d0-de8a-4230-a5a1-10c86a174239,East Calder Express - Clothing Collection,East Calder Express - Clothing Collection,Clothing-Collection,GB,SCT,55.8947,-3.46515,0,Closed,null,null,Europe/London,b4ce1fee-d48a-48a3-8b66-d232f246423d,efac72f3-c740-4448-8adb-8ec717782e3e
253,b195afde-64a3-40f5-8df0-b9aaa91ebcbf,St John's Wood Express,St John's Wood Express,Store,GB,ENG,51.53392,-0.17196,3479,Trading,Express,Express Standalone,Europe/London,7d8e45c7-14b7-4a4c-a06f-42b0973c9fde,null
257,e33adb75-4dce-4eb9-a5c4-7f5d5a2674c0,Priory Ln Express,Priory Ln Express,Store,GB,ENG,52.04619,-0.02164,4398,Trading,Express,Express Standalone,Europe/London,d03c332c-9e9d-4e30-be26-c8c7e313a52b,null
261,2ddbf676-2974-4e7e-b5a1-96c87440c474,TELFORD EXTRA,TELFORD EXTRA,Click-And-Collect,GB,ENG,52.691062,-2.493052,0,Trading,Van,null,Europe/London,bbf7fbc7-efc4-4bab-9a9f-ec21b1fa0aa2,2eb20421-93ed-46d4-8b79-f0ddde7954b1
265,810b7987-bf12-4e6a-90ce-66373187ba6d,NEWMARKET PFS,NEWMARKET PFS,Petrol-Filling-Station,GB,ENG,null,null,3907,Closed,null,Petrol Station,Europe/London,7b8a08c4-9c64-45d9-9dae-4c271d749a7b,b795d5b1-1cae-48e5-a866-f1f7cda13fdc
269,35f03407-e073-4a09-9a6a-cc04d31598f5,Barnsley Extra - Tesco Mobile Shop,Barnsley Extra - Tesco Mobile Shop,Tesco-Mobile-Shop,GB,ENG,53.54079,-1.43602,0,Trading,null,null,Europe/London,982b62fd-8a79-42ab-a01d-6a2c7be8fb7a,a084bcc9-c444-4dd7-bd1d-9293401611be
273,607e0cd4-df37-48f6-b3aa-41b425b0a7d6,Colney Hatch Extra - Vision Express,Colney Hatch Extra - Vision Express,Vision-Express,GB,ENG,51.60719,-0.1547,0,Trading,null,null,Europe/London,4d5a6d71-fc12-4a26-a80d-274de883e5dd,b4c909d0-2b94-4cd2-8fea-8298e757d530
277,760d7658-7239-4601-b9fb-beade4087ce4,Salford Quays Express,Salford Quays Express,Store,GB,ENG,53.47151,-2.28202,3259,Trading,Express,Express Standalone,Europe/London,a292a02f-7f81-4108-84d2-2919cd8cb051,null
281,0fb3ce31-efa3-4fd3-afb6-b3108c258806,Llandudno Junction Superstore - Elderly And Vulnerable Priority Time,Llandudno Junction Superstore - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,WLS,53.28324,-3.81328,0,Closed,null,null,Europe/London,e7f43db0-0600-4827-af50-6d3557ce5106,bf06af35-6e47-47bf-b85c-242539548cba
285,e206942c-b2cc-46a1-a1c0-d6049e291bc7,One Stop Leyburn,One Stop Leyburn,One-Stop,GB,ENG,54.309675,-1.8299,0,Trading,Neighbourhood Top Up,null,Europe/London,ff833d5e-42bc-44ff-9b80-31874a83bc6d,null
289,a75bd3f0-8483-4d3b-8a57-e75c4302d9e6,Wirral Heswall Superstore,Wirral Heswall Superstore,Store,GB,ENG,53.32856,-3.10297,2672,Trading,Superstore,Superstore,Europe/London,bfb3b881-f7c4-4c50-942c-4d8830c7cc46,null
293,7b8bd25c-befe-46ac-b9c1-8185bdac585a,West Bromwich Extra - Tech Support,West Bromwich Extra - Tech Support,Tech-Support,GB,ENG,52.52064,-1.99082,0,Trading,null,null,Europe/London,a3dae649-69be-4698-8f2d-7d1e3f37e524,86946be1-731e-420c-bdb2-c2278576e36d
297,020510c8-8641-4836-bf66-aec6193a9d24,Beckenham Elmers End Superstore - Vision Express,Beckenham Elmers End Superstore - Vision Express,Vision-Express,GB,ENG,51.39666,-0.05018,0,Trading,null,null,Europe/London,f4a81244-e934-42cb-b12d-7d6d7af220b0,f495e489-ced9-4f7b-b451-5dbf1f4675da
301,6e5c009c-7c02-4aab-8d07-0f8662c66d0a,Lea Valley Extra - Hand Car Wash,Lea Valley Extra - Hand Car Wash,Hand-Car-Wash,GB,ENG,51.60997,-0.04831,0,Trading,null,null,Europe/London,d1a347bd-8b3b-4049-a6d3-f292790fa365,2202e8da-d6a1-4ae8-92b0-98ff97b2d414
305,414cc639-14c2-4245-8c26-985677072571,Oldham Chadderton Superstore - Elderly And Vulnerable Priority Time,Oldham Chadderton Superstore - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,ENG,53.54554,-2.12592,0,Closed,null,null,Europe/London,fcf98279-c2ba-475b-9394-5c69bccc60b6,4b1a1bc7-7ce9-4e25-b5a2-6b5ff1267d65
309,3a2cc59c-2515-4634-960d-b6057009245d,Rugby,Rugby,Click-And-Collect,GB,ENG,52.38778,-1.256065,0,Trading,Pod,null,Europe/London,444ac0c4-2d51-476d-b854-aa9f0056a084,6b05b3a4-6e98-4b44-b16d-41bd1eae7d52
313,43f008e3-6a23-4d93-861f-90fc49116aa1,Cumbernauld Express,Cumbernauld Express,Store,GB,SCT,null,null,4915,Development,null,Express Standalone,Europe/London,f3e458e2-1f5e-45ee-b485-87f76264077c,null
317,fcab5c23-1470-4fe1-bcff-232a45273551,Bolton Horwich Extra - Clothing Range,Bolton Horwich Extra - Clothing Range,Clothing-Range,GB,ENG,53.5814,-2.53178,0,Trading,null,null,Europe/London,35118254-5069-4577-b6cc-a845d93c9821,da22057e-cf47-4135-828f-4462c866ba26
321,5605349e-69b8-4306-a5af-86da9d2928bb,Leeds Bond St Metro - NHS Workers Priority Time,Leeds Bond St Metro - NHS Workers Priority Time,NHS-Workers-Priority-Time,GB,ENG,53.79781,-1.54584,0,Closed,null,null,Europe/London,f857899a-637d-406a-b9fb-d76bb6e141ff,8c0d4614-8697-4e41-9e9d-513ae76f0e5c
325,8865d982-07eb-46f6-a1ae-ee423aa4dc29,Farnworth Superstore - Petrol Filling Station,Farnworth Superstore - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,53.54256,-2.39865,4238,Development,null,Petrol Station,Europe/London,5c06828a-378f-43a5-b0be-32d4c760bb69,3a3be41d-52d7-4ed1-983c-28a1e6088ed5
329,cac8ee03-82f1-44c9-a11b-d149dde91072,West Bromwich Extra - Travel Money,West Bromwich Extra - Travel Money,Travel-Money,GB,ENG,52.52064,-1.99082,0,Trading,null,null,Europe/London,a3dae649-69be-4698-8f2d-7d1e3f37e524,86946be1-731e-420c-bdb2-c2278576e36d
333,de721a67-5597-4e38-9f0d-b23213a20869,Twickenham Extra - Hand Car Wash,Twickenham Extra - Hand Car Wash,Hand-Car-Wash,GB,ENG,51.45885,-0.33746,0,Trading,null,null,Europe/London,7e572fcb-7ac7-4f29-919a-6ae59893e6cf,f0de4982-bd54-435c-a7c7-53b74fe20499
337,35c10b7e-b812-49a3-9982-e25664613457,Walkden Extra - Vision Express,Walkden Extra - Vision Express,Vision-Express,GB,ENG,53.52593,-2.40107,0,Trading,null,null,Europe/London,bdbcbb51-fced-4aae-b0cb-0b11c9a094cc,750f5bd0-eb2a-468a-b94a-8c37a2f13974
341,b443a789-6169-4301-9f32-c5316773b566,Tenterden Superstore - Elderly And Vulnerable Priority Time,Tenterden Superstore - Elderly And Vulnerable Priority Time,Elderly-And-Vulnerable-Priority-Time,GB,ENG,51.06599,0.68564,0,Closed,null,null,Europe/London,4f775884-c61f-4b6a-95a9-0625f2a1b2c1,baed1f7c-cc6c-4872-8500-32926a6363ce
345,d5c66c3d-78a1-455e-940b-edb4e8242ece,Lewisham Loampit Vale Esso Express - Petrol Filling Station,Lewisham Loampit Vale Esso Express - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,51.46501,-0.01812,0,Trading,null,null,Europe/London,ce1a2653-832a-431d-b00c-a5a8ecc41461,d59a922c-e144-4f03-be8f-7fe22ed8fb4a
349,63f8de29-6416-4a8f-a0f5-47cdce1a698f,FAILSWORTH EXTRA Smart phone required for collection,FAILSWORTH EXTRA Smart phone required for collection,Click-And-Collect,GB,ENG,53.50845,-2.15865,0,Trading,Kerbside,null,Europe/London,b005f60f-c651-46cb-add0-1eb7652860a5,41e6e625-d2d5-40ea-8da1-907cf44dade2
353,c66570d2-47f9-439e-90b7-0730328b022e,Bridgend Brewery Ln Superstore - Hot Deli,Bridgend Brewery Ln Superstore - Hot Deli,Hot-Deli,GB,WLS,51.50901,-3.57946,0,Trading,null,null,Europe/London,118e2dc6-f8c7-4159-9785-b42aebb26b51,63282d73-57bc-4562-b46a-2b530e4d687b
357,e073552d-5d97-4133-b404-3a893ff24474,Blackpool Clifton Extra - Hand Car Wash,Blackpool Clifton Extra - Hand Car Wash,Hand-Car-Wash,GB,ENG,53.79477,-2.99268,0,Trading,null,null,Europe/London,4438946e-a80d-43bd-90f3-984fa179caa9,f59cf873-6524-4232-8e59-585d4d0b98b6
